YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
2010,11.04,15.09,16.02,16.5,20.14,20.79,19.83,17.17,17.98,10.92,8.29,11.08,15.4
2011,5.86,13.24,10.6,16.08,19.71,18.91,19.19,18.63,12.96,10.52,10.78,4.98,13.45
2012,8.03,11.91,14.16,17.6,20.11,17.5,19.46,18.31,15.22,14.86,13.08,10.94,15.11
2013,10.26,15.09,15.86,16.47,20.12,19.17,17.77,16.84,14.11,11.61,9.14,6.4,14.39
2014,11.52,14.71,14.94,18.9,21.24,18.74,19.31,18.5,18.61,13.68,12.77,6.33,15.76
2015,12.15,14.47,17.42,18.56,21.62,21.04,14.81,20.66,18.76,15.25,13.77,9.94,16.54
2016,8.86,10.42,14.36,17.99,19.15,20.32,20.6,18.61,16.05,13.41,9.82,5.7,14.62
2017,10.5,12.32,15.74,17.01,16.82,20.43,16.78,19.28,19.16,11.03,7.88,6.57,14.46
2018,8.94,12.16,15.21,17.57,21.68,17.26,15.63,16.83,19.07,16.66,12.62,9.15,15.24
2019,10.16,17.83,16.24,20.48,19.27,21.86,18.73,16.49,15.01,16.94,11.38,11.12,16.27
2020,14.11,16.48,17.33,13.73,21.25,21.1,22.34,18.75,19.39,8.26,9.11,6.28,15.67
